epoch,Center,Left_bhip,Left_ear,Left_fhip,Nose,Right_bhip,Right_ear,Right_fhip,Spine_1,Spine_2,Tail_1,Tail_2,Tail_base,Tail_tip,loss,lr,val_Center,val_Left_bhip,val_Left_ear,val_Left_fhip,val_Nose,val_Right_bhip,val_Right_ear,val_Right_fhip,val_Spine_1,val_Spine_2,val_Tail_1,val_Tail_2,val_Tail_base,val_Tail_tip,val_loss
0,0.0037408003117889166,0.005353359971195459,0.005101805552840233,0.005328458268195391,0.005625974852591753,0.005440268665552139,0.005085413344204426,0.005407923366874456,0.00400929432362318,0.004778329282999039,0.0047300588339567184,0.005212054122239351,0.005093625746667385,0.0032743311021476984,0.004870119504630566,1e-04,0.0029336039442569017,0.004990627057850361,0.004515747539699078,0.005243571940809488,0.005093290936201811,0.005023040808737278,0.004610072821378708,0.004976445343345404,0.003317016875371337,0.004264174960553646,0.0027042662259191275,0.004186075180768967,0.004006286151707172,0.0027283167000859976,0.004185181111097336
1,0.0023718427401036024,0.0043509360402822495,0.003396995598450303,0.003979748114943504,0.004055178724229336,0.004512245766818523,0.0033573831897228956,0.004230673424899578,0.0023107214365154505,0.002948757726699114,0.002601592568680644,0.0036545060575008392,0.0027750141452997923,0.003327739192172885,0.003419523825868964,1e-04,0.0021873635705560446,0.0036192485131323338,0.0020464370027184486,0.002846662187948823,0.002903787884861231,0.0037823847960680723,0.002214910462498665,0.0030152772087603807,0.0012160366168245673,0.0020334594883024693,0.0020526517182588577,0.0029032817110419273,0.0015781385591253638,0.0028410754166543484,0.002517193788662553
2,0.0017192126251757145,0.0027066965121775866,0.0017033022595569491,0.0023339102044701576,0.002482254756614566,0.0028626807034015656,0.0016790821682661772,0.0022740745916962624,0.0012986587826162577,0.0016626645810902119,0.0017167998012155294,0.0025776736438274384,0.0013833411503583193,0.0029454524628818035,0.0020961291156709194,1e-04,0.0014978841645643115,0.0023677581921219826,0.0014805931132286787,0.0017444973345845938,0.0021946860942989588,0.0021853134967386723,0.0016195131465792656,0.0016686251619830728,0.001137083163484931,0.0018822839483618736,0.0015851830830797553,0.002405640436336398,0.001174118835479021,0.00275486521422863,0.0018355746287852526
3,0.0013560217339545488,0.0018984271446242929,0.0012441223952919245,0.00152442732360214,0.0018472990486770868,0.0018786957953125238,0.00127001095097512,0.001591011299751699,0.0010461346246302128,0.0012252511223778129,0.0013448833487927914,0.002077959245070815,0.000970330904237926,0.0026028675492852926,0.0015626746462658048,1e-04,0.0014270275132730603,0.001924990676343441,0.0011850305600091815,0.0017597225960344076,0.0021425592713057995,0.0017822659574449062,0.0015961710596457124,0.002098826225847006,0.0010096874320879579,0.001694589969702065,0.0012759926030412316,0.002410223940387368,0.0008660334278829396,0.0023059905506670475,0.0016770794754847884
4,0.0011150870705023408,0.0016668960452079773,0.001090904464945197,0.00130651262588799,0.0014958750689402223,0.0016296675894409418,0.0011101252166554332,0.001407771254889667,0.0008538911934010684,0.0010326540796086192,0.001144617097452283,0.0018231752328574657,0.0008330960990861058,0.0022802974563091993,0.001342183444648981,1e-04,0.0008922007982619107,0.0015555190620943904,0.0009409853373654187,0.0013691764324903488,0.0015063043683767319,0.0015533703844994307,0.0013714180095121264,0.0014752771239727736,0.0008426927961409092,0.001228421344421804,0.0008580756257288158,0.001529492437839508,0.0008062059641815722,0.0019009864190593362,0.0012735804775729775
5,0.0009804166620597243,0.0015102645847946405,0.0009835221571847796,0.0012244426179677248,0.0013234964571893215,0.0014679809100925922,0.0009437305270694196,0.001240691402927041,0.000768435827922076,0.0009335476206615567,0.0008991403155960143,0.0016179081285372376,0.0007092389278113842,0.0019852202385663986,0.0011848597787320614,1e-04,0.0009113811538554728,0.0015468491474166512,0.00088267563842237,0.0013936760369688272,0.001585188671015203,0.0014000216033309698,0.001114720944315195,0.001491939416155219,0.0007614123169332743,0.001218524412252009,0.0013168378500267863,0.0015615917509421706,0.0007752597448416054,0.0019212020561099052,0.0012772344052791595
6,0.0008229986415244639,0.0014160501305013895,0.0008949691546149552,0.0011037274962291121,0.0011935143265873194,0.0013662595301866531,0.0008813531021587551,0.0011561345309019089,0.0006824497831985354,0.000809265358839184,0.0007874080911278725,0.0014664324698969722,0.0005987626500427723,0.001726797316223383,0.0010647225426509976,1e-04,0.0006186394020915031,0.0015123338671401143,0.0009703582036308944,0.0012510779779404402,0.0015520901652052999,0.0012259125942364335,0.0011117953108623624,0.00126398797146976,0.0008197433198802173,0.0009296276257373393,0.000853177800308913,0.0014572450891137123,0.0007552558090537786,0.001936512184329331,0.0011612683301791549
7,0.0007467817049473524,0.0012995201395824552,0.000829380180221051,0.0010675200028344989,0.0010300491703674197,0.0012803314020857215,0.00080766441533342,0.0010663687717169523,0.0006279042572714388,0.0007863367209210992,0.0007628015009686351,0.0013546114787459373,0.0005764695815742016,0.001555342343635857,0.0009850774658843875,1e-04,0.0007016032468527555,0.0016418520826846361,0.0009769645985215902,0.0013479042099788785,0.0014194705290719867,0.0012017516419291496,0.001106979325413704,0.0015802772250026464,0.0007673246436752379,0.0011485946597531438,0.0006340267136693001,0.0013115695910528302,0.0006386722670868039,0.0016487848479300737,0.0011518412502482533
8,0.0007061648648232222,0.0012014921521767974,0.0007904652738943696,0.0009842927101999521,0.000924613734241575,0.001164772897027433,0.0007398578454740345,0.0009739673114381731,0.0005741126951761544,0.0007258000550791621,0.0007049754494801164,0.0013328117784112692,0.0005492606433108449,0.0014955842634662986,0.0009191552526317537,1e-04,0.0006282436661422253,0.0013274791417643428,0.0008873063488863409,0.001340663293376565,0.001403384143486619,0.0010345940245315433,0.000938385899644345,0.0015388879692181945,0.00089762092102319,0.0007736478582955897,0.0005822146194986999,0.001274704234674573,0.000537747167982161,0.0015101174358278513,0.0010482140351086855
9,0.0006395835080184042,0.001144567271694541,0.0007242544088512659,0.0009382270509377122,0.0009092335822060704,0.001119603868573904,0.0006879295106045902,0.0009169468539766967,0.0005176677950657904,0.0006843070150353014,0.0006495010457001626,0.0012248934945091605,0.00046642316738143563,0.0013300724094733596,0.0008538008551113307,1e-04,0.0006282732356339693,0.0012097819708287716,0.0005784063832834363,0.001215080264955759,0.0013456018641591072,0.0009047372732311487,0.0008226788486354053,0.001259320299141109,0.00044813528074882925,0.0006125461077317595,0.0009210038697347045,0.0011021328391507268,0.0003958080487791449,0.0013584329281002283,0.0009144243085756898
